Activity_code,Goal_1,Goal_2,Goal_3,
11105.01,4,,,
11110.01,4,16.6,,
11110.02,4,16.6,,
11110.03,4,16.6,,
11110.04,4,16.6,,
11110.05,4, ,,
11110.06,4, ,,
11120.01,4.a,,,
11120.02,4.a,,,
11120.03,4.a,,,
11120.04,4.4,,,
11120.05,4.a ,9.1,,
11120.06,4,,,
11130.01,4.c,,,
11130.02,4.c,,,
11130.03,4.c,,,
11182.01,4,,,
11182.02,4,,,
11182.03,4,,,
11220.01,4.1,,,
11220.02,4.1,16.6,,
11220.03,4.1, 4.a ,9.1,
11220.04,4.1,,,
11220.05,4.1, 4.a,,
11220.06,4.1, 4.c,,
11230.01,4,,,
11230.02,4,,,
11230.03,4.6,,,
11240.01,4.2,,,
11240.02,4.2,,,
11320.01,4.1,,,
11320.02,4.1,16.6,,
11320.03,4.1, 4.a ,9.1,
11320.04,4.1,,,
11320.05,4.1, 4.a ,,
11320.06,4.1,,,
11320.07,4.1, 4.c,,
11330.01,4.3,,,
11330.02,4.3,,,
11330.03,4.4,,,
11330.04,4.4,,,
11420.01,4.3,,,
11420.02,4.3,16.6,,
11420.03,4.3, 4.a ,9.1,
11420.04,4.3,,,
11420.05,4.3, 4.a ,,
11420.06,4.3, 4.b,,
11420.07,4.3, 4.c,,
11430.01,4.3,,,
11430.02,4.3,,,
11430.03,4.4,,,
11430.04,4.4,,,
11430.05,4.4,,,
12005.01,3, ,,
12105.01,3,,,
12110.01,3,16.6,,
12110.02,3,16.6,,
12110.03,3,16.6,,
12110.04,3,16.6,,
12110.05,3.8,,,
12181.01,3.c ,4.3,,
12182.01,3,,,
12191.01,3, ,,
12191.02,3,,,
12191.03,3,,,
12191.04,3,,,
12191.05,3,,,
12191.06,3.8,,,
12191.07,3.4,,,
12191.08,3.4,,,
12191.09,3.5,,,
12220.01,3.8,,,
12220.02,3.8,,,
12220.03,3.8,,,
12220.04,3.8,,,
12220.05,3.2,,,
12230.01,3.8,9.1,,
12230.02,3.8,9.1,,
12230.03,3.8,,,
12240.01,2.2,,,
12240.02,2.2,,,
12240.03,2.2,,,
12240.04,2.2,,,
12240.05,2.2,4,,
12240.06,2.1,,,
12250.01,3.3,,,
12250.02,3.3,,,
12250.03,3.3,,,
12250.04,3.3,,,
12250.05,3.3,,,
12250.06,3.3,,,
12250.07,3.3,,,
12261.01,3,4,,
12261.02,3,4,,
12261.03,3.d,,,
12281.01,3.c ,4,,
13005.01,3.7,,,
13010.01,16.6,,,
13010.02,16.6,,,
13010.03,3.7,16.6,,
13010.04,17.18,,,
13010.05,17.18,,,
13010.06,17.18,,,
13010.07,3.7,,,
13020.01,3.7,,,
13020.02,3.7,,,
13020.03,3.1,3.2,3.7,
13020.04,3.7,,,
13020.05,3.7,,,
13020.06,3.7,,,
13030.01,3.7,,,
13030.02,3.7,,,
13030.03,3.7,,,
13030.04,3.7,5.6,,
13030.05,3.7,,,
13040.01,3.3,,,
13040.02,3.3,,,
13040.03,3.3,,,
13040.04,3.3,,,
13040.05,3.3,,,
13081.01,3.7, 3.c,,
14005.01,6.1,6.2,,
14010.01,6.5,16.6,,
14010.02,6.5,16.6,,
14010.03,6,16.6,,
14015.01,6.6,,,
14015.02,6.6,,,
14015.03,6.4,6.6,,
14015.04,6.3,6.6,,
14020.01,6.1,6.2,,
14020.02,6.1,9.1,,
14020.03,6.2,9.1,,
14020.04,6.1,6.2,9.1,
14020.05,6.3,9.1,,
14020.06,6,,,
14030.01,6.1,6.2,,
14030.02,6.1,6.2,,
14030.03,6.2,,,
14040.01,6.6,,,
14040.02,6.6,9.1,,
14040.03,6.6,9.1,,
14040.04,6.6,9.1,,
14050.01,11.6,,,
14050.02,11.6,,,
14050.03,11.6,,,
14050.04,11.6,,,
14050.05,11.6,,,
14081.01,4,6,,
14082.01,6,,,
14082.02,6,9.5,,
15105.01,16.7,,,
15110.01,8.1,16.6,,
15110.02,8.1,16.6,,
15110.03,16.6,,,
15110.04,16.6,,,
15110.05,16.6,,,
15120.01,16.6,,,
15120.02,16.6,,,
15120.03,17.1,,,
15120.04,16.3,16.5,,
15130.01,16.3,,,
15130.02,16.3,,,
15130.03,16.3,16.6,,
15130.04,4,16.3,,
15130.05,16.3, ,,
15130.06,16.3, 16.a,,
15140.01,16.6,,,
15140.02,16.6,,,
15140.03,16.6,,,
15140.04,16.6,,,
15140.05,9.1,16.6,,
15150.01,16.7,,,
15150.02,16.7,,,
15150.03,16.7,,,
15150.04,16.7,,,
15150.05,16.6,16.7,,
15150.06,16.7,,,
15150.07,16,,,
15150.08,16.1,,,
15150.09,5.1,5.5,,
15205.01,16.1,,,
15210.01,16.1,,,
15210.02,16.1,,,
15220.01,16.1,,,
15230.01,16.1,,,
15240.01,16.4,,,
15240.02,16,,,
15240.03,16,,,
15240.04,16.4,,,
15250.01,16.1,,,
15261.01,8.7,16.2,,
15261.02,8.7,16.2,,
15261.03,8.7,16.2,,
16010.01,1.3,10.2,,
16010.02,1.3,10.2,,
16010.03,1.3,10.2,16.6,
16010.04,1.3,10.4,,
16010.05,1.3, ,,
16010.06,DO NOT CODE,,,
16010.07,11.4,,,
16010.08,17.18,17.19,,
16010.09,16.3,,,
16010.10,10.2,,,
16010.11,9.1,11.4,,
16020.01,8.5,16.6,,
16020.02,8.5,16.6,,
16020.03,8.8,,,
16020.04,8.5,16.6,,
16020.05,8.5,,,
16020.06,8.8,,,
16020.07,8.7,,,
16030.01,11.1,16.6,,
16030.02,11.1,16.6,,
16030.03,11.1,,,
16050.01,DO NOT CODE,,,
16081.01,4,,,
21005.01,11.2,,,
21010.01,11.2,,,
