AidData Project ID,Title,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Other Organizations,Source,Start Date (DD/MM/YYYY),End Date (DD/MM/YYYY),Planned Start Date (DD/MM/YYYY),Planned End Date (DD/MM/YYYY),Source Detail,Status,AidData Sector Code,AidData Sector Name,AidData Purpose Code,AidData Purpose Name,AidData Activity Code(s),AidData Activity Name(s),Short Description,Long Description,Donor Project ID,Donor Secondary Project ID,Additional Info,Project Commitment Amount (Constant USD2011),Project Disbursement Amount (Constant USD2011),Total Project Cost (Donor Reported),CRS: Untied Amount (Nominal USD),CRS: Tied Amount (Nominal USD),CRS: Partial Tied Amount (Nominal USD),CRS: Pdgg,CRS: Channel Code,CRS: Bi Multi,CRS: Desertification,CRS: Environment,CRS: Gender,CRS: Trade,CRS: Climate,CRS: Biodiversity,CRS: Region,CRS: Sector Code,CRS: Sector,CRS: Purpose Code,CRS: Purpose Name,CRS: Flow Name,CRS: Finance T,CRS: Associated Financing,CRS: Future Ds Principal Amount Usd Nominal,CRS: Future Ds Interest Amount Usd Nominal,CRS: Irtc Amount Usd Nominal,CRS: Received Amount Usd Nominal,CRS: Aid T,CRS: Arrears Interest Amount Usd Nominal,CRS: Arrears Principal Amount Usd Nominal,CRS: Channel Name,CRS: Expert Commitment Amount Usd Nominal,CRS: Export Credit Amount Usd Nominal,CRS: Export Extended Amount Usd Nominal,CRS: FTC,CRS: Initial Report,CRS: Interest Amount Usd Nominal,CRS: Outstanding Amount Usd Nominal,CRS: Repay Type,CRS: Second Interest Rate
9.06E+11,Spanish--EnseÃƒÂ±anza en francÃƒÂ©s 2013--translation--Teaching in French 2013,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,111,"Education, level unspecified",11120,Education facilities and training,11120.04,Language training,,PromociÃƒÂ³n de la educaciÃƒÂ³n--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL115,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Proyecto para la construcciÃƒÂ³n de un colegio en RÃƒÂ­osucio--translation--Project for the construction of a school in Riosucio,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,111,"Education, level unspecified",11120,Education facilities and training,11120.05,Education infrastructure,,Contribuir a la ampliaciÃƒÂ³n de la cobertura educativa en el municipio de Riosucio--beneficiary--INFANCIA Y ADOLESCENCIA,COL14,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Apoyo al Sistema Nacional de Escuelas Taller. Fases V--translation--Support to the national system of workshop schools. Phase V,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,111,"Education, level unspecified",11120,Education facilities and training,11120.06,"Colloquia, seminars, lectures, etc.",,"Creado un Sistema ÃƒÂ³ Programa Nacional para la promociÃƒÂ³n, apropiaciÃƒÂ³n y sostenibilidad de las Escuelas Taller de Colombia--beneficiary--INSTITUCIONES, JÃƒâ€œVENES",COL137,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Quincuagesima cuarta olimpiada internacional de matemÃƒÂ¡ticas Caribe 2013--translation--Fifty fourth international Olympiad of mathematics Caribbean 2013,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,111,"Education, level unspecified",11120,Education facilities and training,11120.06,"Colloquia, seminars, lectures, etc.",,Realizar la 54Ã‚Â° Olimpiada Internacional de MatemÃƒÂ¡ticas en el Caribe Colombiano en el 2013.--beneficiary--INFANCIA Y ADOLESCENCIA,COL511,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Apoyo a las actividades del CICR en Colombia. 2012--translation--Support to the activities of the ICRC in Colombia. 2012,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,112,Basic education,12220,Basic health care,11220.01,"Basic/Primary education, activity unspecified or does not fit under any other applicable codes",,Asistencia y protecciÃƒÂ³n a las vÃƒÂ­ctimas del conflicto armado en Colombia--beneficiary--VICTIMAS DE LA VIOLENCIA,COL219,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Ayunos a Educar- Mi Nueva Familia- Un ÃƒÅ¡til un Proyecto de Vida--translation--Fasts to educate - my new family - a useful project life,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,112,Basic education,11220,Primary education,11220.05,"Provision of learning materials, equipment, supplies",,"Proporcionar Ayudas de Utiles Escolares a PoblaciÃƒÂ³n infantil, para el mejoramiento de las condiciones educativas.--benefciary",COL564,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--WE GIVE BOOKS - AMÃƒâ€°RICA LATINA--translation--WE GIVE BOOKS - AMÃƒÂ­Ã‚Å RICA LATINA,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,112,Basic education,11230,Basic life skills for youth and adults ,11230.03,Literacy and numeracy training,,Promover la lectura digital e impresa en la poblaciÃƒÂ³n infantil y juvenil de AmÃƒÂ©rica Latina--benefciary,COL692,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Proyecto para la construcciÃƒÂ³n de un colegio en el municipio de La Palma--translation--Project for the construction of a school in the municipality of the Palm,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,113,Secondary education,11320,Secondary education,11320.03,Secondary education infrastructure,,Contribuir a la ampliaciÃƒÂ³n de la cobertura educativa en el municipio de La Palma--beneficiary--INFANCIA Y ADOLESCENCIA,COL145,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Becas de formaciÃƒÂ³n 2012--translation--Scholarships 2012,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,113,Secondary education,11320,Secondary education,11320.06,Scholarships,,Promover la educaciÃƒÂ³n y la formaciÃƒÂ³n en Francia--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL142,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--SERVICIO DE EDUCACIÃƒâ€œN Y FORMACIÃƒâ€œN INTEGRAL EN EL SUBSECTOR DE DESARROLLO DE HABILIDADES--translation--SERVICE EDUCATION AND TRAINING INTEGRATED IN THE SUBSECTOR OF SKILL DEVELOPMENT,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,113,Secondary education,11330,Vocational training,11330.02,Elementary vocational training and secondary level technical education,,SERVICIO DE EDUCACIÃƒâ€œN Y FORMACIÃƒâ€œN INTEGRAL EN EL SUBSECTOR DE DESARROLLO DE HABILIDADES--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL168,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--SALUD AMBIENTAL Y ENTORNOS SALUDABLES--translation--ENVIRONMENTAL HEALTH AND HEALTHY ENVIRONMENTS,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,120,HEALTH,12005,"Health, purpose unspecified or does not fit under any other applicable codes",12005.01,"Health, activity unspecified or does not fit under any other applicable codes",,Estrategia de Entornos Saludables desarrollada e implementada en el nivel territorial y Modelos de Salud Urbana desarrollados--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL398,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--FORTALECIMIENTO EN EL DIAGNÃƒâ€œSTICO MOLECULAR Y BIOQUÃƒÂMICO DE LAS ESPECIES DE LEISHMANIA Y SU GEOREFERENCIACIÃƒâ€œN--translation--STRENGTHENING IN MOLECULAR DIAGNOSTICS AND BIOCHEMICAL OF LEISHMANIA SPECIES AND THEIR GEOREFERENCING,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,121,"Health, general",12182,Medical research,12182.01,All general medical research activities,,"1. Implemetar tÃƒÂ©cnicas moleculates, para la identificaciÃƒÂ³n y tipificaciÃƒÂ³n de las diferentes especies de leishmania. 2.Estandarizar las tÃƒÂ©cnicas de tipificaciÃƒÂ³n. 3.Georefernciar las especies de leishmaniasis REalizar el analisis de correlaciÃƒÂ³n entre efectividad del tratamiento y la especie de leishmaniasis.--benefciary",COL597,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Programa de Servicios Comunitarios para poblaciÃƒÂ³n Afrocolombiana VÃƒÂ­ctima del Conflicto--translation--Community services program for population Afro-Colombian victim of the conflict,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,121,"Health, general",12191,Medical services,12191.07,Mental health care,,Brindar servicios de salud mental y atenciÃƒÂ³n Psicosocial a vÃƒÂ­ctimas del conflicto tanto en Buenaventura como QuibdÃƒÂ³--beneficiary--AFROCOLOMBIANOS,COL117,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,'Spanish--PLAN DE INVERSIÃƒâ€œN ''TODOS POR EL PACÃƒÂFICO'' - CHOCÃƒâ€œ--translation--''ALL ACROSS THE PACIFIC'' - INVESTMENT PLAN CRASHED',Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,122,Basic health,12220,Basic health care,12220.05,Infant and child health,,Contribuir a mejorar las condiciones de vida de la poblaciÃƒÂ³n y reducir la mortalidad y morbilidad infantil de esta zona.--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL97,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Proyecto para la donaciÃƒÂ³n de equipos mÃƒÂ©dicos a la E.S.E. Hospital de Hatillo de Loba.--translation--Project for the donation of medical equipment at the Hospital in Hatillo de Loba E.S.E..,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,122,Basic health,12230,Basic health infrastructure,12230.03,Basic health medical equipment and supplies ,,Mejorar los niveles de calidad y cobertura de salud en el municipio de MitÃƒÂº--beneficiary--POBLACIÃƒâ€œN EN GENERAL,COL3,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--APOYO TÃƒâ€°CNICO PARA LA IMPLEMENTACIÃƒâ€œN DE BANCOS DE LECHE HUMANA EN COLOMBIA--translation--TECHNICAL SUPPORT FOR THE IMPLEMENTATION OF MILK BANKS HUMAN IN COLOMBIA,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,122,Basic health,12240,Basic nutrition,12240.02,Direct feeding programmes,,Asesorar al Ministerio de la ProtecciÃƒÂ³n Social en la elbaoraciÃƒÂ³n de un proyecto de implementaciÃƒÂ³n de las actividades de Bancos de Leche en dos departamentos del paÃƒÂ­s y el Distrito CApital en la perspectiva de trabajo en REd.--benefciary,COL593,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Fortalecer la estrategia Alto a la TB en 46 municipios prioritarios de Colombia--translation--Strengthening the strategy of high TB in 46 priority municipalities of Colombia,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,122,Basic health,12250,Infectious & Parasitic disease control,12250.04,Tuberculosis control,,"Con este proyecto se pretende en los municipios priorizados aumentar la tasa de detecciÃƒÂ³n de casos pasando en los cinco aÃƒÂ±os de 47,3 % a 80%, aumentar la tasa de ÃƒÂ©xito del tratamiento de 70,4% al 87% y disminuir la tasa de mortalidad de 4 a 3,5 por 100.000 habitantes.--beneficiary--POBLACIÃƒâ€œN EN GENERAL",COL395,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
9.06E+11,Spanish--Para el desarrollo del liderazgo y el trabajo de preparaciÃƒÂ³n del censo--translation--For the development of the leadership and the work of preparation of the Census,Denmark,DK,Funding,,,,,,,,OECD 2013,,,,,,DRAFT,130,POPULATION POLICIES/ PROGRAMMES AND REPRODUCTIVE HEALTH,13010,Population policy and administrative management,13010.04,"Census work, vital registration",,Para el desarrollo del liderazgo y el trabajo de preparaciÃƒÂ³n del censo--beneficiary--INDIGENAS,COL462,,,0,0,0,,,,,,,,,,,,,,998,unallocated/unspecified,99810,sectors not specified,,,,,,,,,,,,,,,,,,,,
