AidData Project ID,Title,Organization,Organization ISO,Organization Role,Organization.1,Organization ISO.1,Organization Role.1,Organization.2,Organization ISO.2,Organization Role.2,Other Organizations,Source,Start Date (DD/MM/YYYY),End Date (DD/MM/YYYY),Planned Start Date (DD/MM/YYYY),Planned End Date (DD/MM/YYYY),Source Detail,Status,AidData Sector Code,AidData Sector Name,AidData Purpose Code,AidData Purpose Name,AidData Activity Code(s),AidData Activity Name(s),Short Description,Long Description,Donor Project ID,Donor Secondary Project ID,Additional Info,Project Commitment Amount (Constant USD2011),Project Disbursement Amount (Constant USD2011),Total Project Cost (Donor Reported),CRS: Untied Amount (Nominal USD),CRS: Tied Amount (Nominal USD),CRS: Partial Tied Amount (Nominal USD),CRS: Pdgg,CRS: Channel Code,CRS: Bi Multi,CRS: Desertification,CRS: Environment,CRS: Gender,CRS: Trade,CRS: Climate,CRS: Biodiversity,CRS: Region,CRS: Sector Code,CRS: Sector,CRS: Purpose Code,CRS: Purpose Name,CRS: Flow Name,CRS: Finance T,CRS: Associated Financing,CRS: Future Ds Principal Amount Usd Nominal,CRS: Future Ds Interest Amount Usd Nominal,CRS: Irtc Amount Usd Nominal,CRS: Received Amount Usd Nominal,CRS: Aid T,CRS: Arrears Interest Amount Usd Nominal,CRS: Arrears Principal Amount Usd Nominal,CRS: Channel Name,CRS: Expert Commitment Amount Usd Nominal,CRS: Export Credit Amount Usd Nominal,CRS: Export Extended Amount Usd Nominal,CRS: FTC,CRS: Initial Report,CRS: Interest Amount Usd Nominal,CRS: Outstanding Amount Usd Nominal,CRS: Repay Type,CRS: Second Interest Rate,SDG Goals Duplicates
9.06E+11,Spanish--EnseÌÄ®ÕÌâå±anza en francÌÄ®ÕÌâå©s 2013--translation--Teaching in French 2013,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,111,"Education, level unspecified",11120,Education facilities and training,11120.04,Language training,0,PromociÌÄ®ÕÌâå_n de la educaciÌÄ®ÕÌâå_n--beneficiary--POBLACIÌÄ®ÕÌ¢‰âÂÒN EN GENERAL,COL115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4 |4.4
9.06E+11,Spanish--Proyecto para la construcciÌÄ®ÕÌâå_n de un colegio en RÌÄ®ÕÌâå_osucio--translation--Project for the construction of a school in Riosucio,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,111,"Education, level unspecified",11120,Education facilities and training,11120.05,Education infrastructure,0,Contribuir a la ampliaciÌÄ®ÕÌâå_n de la cobertura educativa en el municipio de Riosucio--beneficiary--INFANCIA Y ADOLESCENCIA,COL14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.a  |4.a  |9.1
9.06E+11,Spanish--Apoyo al Sistema Nacional de Escuelas Taller. Fases V--translation--Support to the national system of workshop schools. Phase V,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,111,"Education, level unspecified",11120,Education facilities and training,11120.06,"Colloquia, seminars, lectures, etc.",0,"Creado un Sistema ÌÄ®ÕÌâå_ Programa Nacional para la promociÌÄ®ÕÌâå_n, apropiaciÌÄ®ÕÌâå_n y sostenibilidad de las Escuelas Taller de Colombia--beneficiary--INSTITUCIONES, JÌÄ®ÕÌ¢‰âÂÒVENES",COL137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 |4
9.06E+11,Spanish--Quincuagesima cuarta olimpiada internacional de matemÌÄ®ÕÌâåÁticas Caribe 2013--translation--Fifty fourth international Olympiad of mathematics Caribbean 2013,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,111,"Education, level unspecified",11120,Education facilities and training,11120.06,"Colloquia, seminars, lectures, etc.",0,Realizar la 54ÌÄ‰Û_Ìâå¡ Olimpiada Internacional de MatemÌÄ®ÕÌâåÁticas en el Caribe Colombiano en el 2013.--beneficiary--INFANCIA Y ADOLESCENCIA,COL511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 |4
9.06E+11,Spanish--Apoyo a las actividades del CICR en Colombia. 2012--translation--Support to the activities of the ICRC in Colombia. 2012,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,112,Basic education,12220,Basic health care,11220.01,"Basic/Primary education, activity unspecified or does not fit under any other applicable codes",0,Asistencia y protecciÌÄ®ÕÌâå_n a las vÌÄ®ÕÌâå_ctimas del conflicto armado en Colombia--beneficiary--VICTIMAS DE LA VIOLENCIA,COL219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1 |4.1
9.06E+11,Spanish--Ayunos a Educar- Mi Nueva Familia- Un ÌÄ®ÕÌÉåÁtil un Proyecto de Vida--translation--Fasts to educate - my new family - a useful project life,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,112,Basic education,11220,Primary education,11220.05,"Provision of learning materials, equipment, supplies",0,"Proporcionar Ayudas de Utiles Escolares a PoblaciÌÄ®ÕÌâå_n infantil, para el mejoramiento de las condiciones educativas.--benefciary",COL564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1 |4.1 | 4.a
9.06E+11,Spanish--WE GIVE BOOKS - AMÌÄ®ÕÌ¢‰âÂå¡RICA LATINA--translation--WE GIVE BOOKS - AMÌÄ®ÕÌâå_ÌÄ‰Û_ÌÉåÊRICA LATINA,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,112,Basic education,11230,Basic life skills for youth and adults ,11230.03,Literacy and numeracy training,0,Promover la lectura digital e impresa en la poblaciÌÄ®ÕÌâå_n infantil y juvenil de AmÌÄ®ÕÌâå©rica Latina--benefciary,COL692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6 |4.6
9.06E+11,Spanish--Proyecto para la construcciÌÄ®ÕÌâå_n de un colegio en el municipio de La Palma--translation--Project for the construction of a school in the municipality of the Palm,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,113,Secondary education,11320,Secondary education,11320.03,Secondary education infrastructure,0,Contribuir a la ampliaciÌÄ®ÕÌâå_n de la cobertura educativa en el municipio de La Palma--beneficiary--INFANCIA Y ADOLESCENCIA,COL145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1 |4.1 | 4.a  |9.1
9.06E+11,Spanish--Becas de formaciÌÄ®ÕÌâå_n 2012--translation--Scholarships 2012,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,113,Secondary education,11320,Secondary education,11320.06,Scholarships,0,Promover la educaciÌÄ®ÕÌâå_n y la formaciÌÄ®ÕÌâå_n en Francia--beneficiary--POBLACIÌÄ®ÕÌ¢‰âÂÒN EN GENERAL,COL142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1 |4.1
9.06E+11,Spanish--SERVICIO DE EDUCACIÌÄ®ÕÌ¢‰âÂÒN Y FORMACIÌÄ®ÕÌ¢‰âÂÒN INTEGRAL EN EL SUBSECTOR DE DESARROLLO DE HABILIDADES--translation--SERVICE EDUCATION AND TRAINING INTEGRATED IN THE SUBSECTOR OF SKILL DEVELOPMENT,Denmark,DK,Funding,0,0,0,0,0,0,0,OECD 2013,0,0,0,0,0,DRAFT,113,Secondary education,11330,Vocational training,11330.02,Elementary vocational training and secondary level technical education,0,SERVICIO DE EDUCACIÌÄ®ÕÌ¢‰âÂÒN Y FORMACIÌÄ®ÕÌ¢‰âÂÒN INTEGRAL EN EL SUBSECTOR DE DESARROLLO DE HABILIDADES--beneficiary--POBLACIÌÄ®ÕÌ¢‰âÂÒN EN GENERAL,COL168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,unallocated/unspecified,99810,sectors not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3 |4.3
